Variable;Scenario;Scenario_name;Class;UF;1995;2000;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050
Pasture condition dynamics;B;Good governance (ABC+);Intermediate pasture;PI;0.004124724;0.004124724;0.004345342;0.004601438;0.004032197;0.005369103;0.006070455;0.006882043;0.006882043;0.006882043;0.006882043;0.006882043
Pasture condition dynamics;B;Good governance (ABC+);Intermediate pasture;CE;0.005723706;0.005723706;0.006637181;0.006929604;0.005161848;0.007766957;0.007697772;0.009433131;0.009433131;0.009433131;0.009433131;0.009433131
Pasture condition dynamics;B;Good governance (ABC+);Intermediate pasture;RN;0.00273699;0.00273699;0.002435635;0.002083986;0.00134659;0.002829538;0.003152167;0.002811183;0.002811183;0.002811183;0.002811183;0.002811183
Pasture condition dynamics;B;Good governance (ABC+);Intermediate pasture;PB;0.003504516;0.003504516;0.003146781;0.003076833;0.001914931;0.00343339;0.004609919;0.003908116;0.003908116;0.003908116;0.003908116;0.003908116
Pasture condition dynamics;B;Good governance (ABC+);Intermediate pasture;PE;0.007085941;0.007085941;0.006705337;0.006119649;0.00374889;0.007045978;0.00687043;0.005956226;0.005956226;0.005956226;0.005956226;0.005956226
Pasture condition dynamics;B;Good governance (ABC+);Intermediate pasture;AL;0.004972229;0.004972229;0.004639241;0.004206427;0.003737092;0.004211347;0.003768256;0.003996436;0.003996436;0.003996436;0.003996436;0.003996436
Pasture condition dynamics;B;Good governance (ABC+);Intermediate pasture;SE;0.00375304;0.00375304;0.003534347;0.00335872;0.002938943;0.003277255;0.002710752;0.002314911;0.002314911;0.002314911;0.002314911;0.002314911
Pasture condition dynamics;B;Good governance (ABC+);Intermediate pasture;BA;0.040215185;0.040215185;0.039830502;0.039047658;0.034275604;0.040135459;0.038739165;0.036051841;0.036051841;0.036051841;0.036051841;0.036051841
Pasture condition dynamics;B;Good governance (ABC+);Intermediate pasture;MG;0.073893121;0.073893121;0.068452466;0.06474006;0.057713603;0.062364585;0.051221051;0.041481371;0.041481371;0.041481371;0.041481371;0.041481371
Pasture condition dynamics;B;Good governance (ABC+);Intermediate pasture;ES;0.008830726;0.008830726;0.007701475;0.00595332;0.005193805;0.006747894;0.00584602;0.005386866;0.005386866;0.005386866;0.005386866;0.005386866
Pasture condition dynamics;B;Good governance (ABC+);Intermediate pasture;RJ;0.006371917;0.006371917;0.006072584;0.005728894;0.005889212;0.005708471;0.005696424;0.005209899;0.005209899;0.005209899;0.005209899;0.005209899
Pasture condition dynamics;B;Good governance (ABC+);Intermediate pasture;SP;0.026568141;0.026568141;0.020982865;0.016318732;0.014960122;0.012589897;0.011147345;0.002139182;0.002139182;0.002139182;0.002139182;0.002139182
